video_id,title,views,comment_count,trending_date,country_code
Ro6eob0LrCY,Malika LePen : Femme de Gauche - Trailer,212702,3817,17.14.11,FR
Yo84eqYwP98,"LA PIRE PARTIE ft Le Rire Jaune, Pierre Croce, Fabien Olicard, Nad Rich' Hard, Max Bird, Studio Vrac",432721,1161,17.14.11,FR
ceqntSXE-10,DESSINS ANIMÉS FRANÇAIS VS RUSSES 2 - Daniil le Russe,482153,9580,17.14.11,FR
WuTFI5qftCE,PAPY GRENIER - METAL GEAR SOLID,925222,4303,17.14.11,FR
ee6OFs8TdEg,QUI SAUTERA LE PLUS HAUT ? (VÉLO SKATE ROLLER TROTTINETTE),141695,481,17.14.11,FR
teXaL6GdQRk,STRANGER JOKES : Jokes de Papa avec les teens de Stranger Things,141253,417,17.14.11,FR
nduL7G_gJoY,De retour dans le Manoir hanté avec le Grand JD !!,187654,2419,17.14.11,FR
QmpWE_SODZA,"T'es qui toi ? Squeezie, le youtubeur aux 4 milliards de vues - Salut les Terriens",91051,701,17.14.11,FR
GBVxEpQr8R8,ON VOUS DÉVOILE NOTRE VRAI SALAIRE,2340941,7575,17.14.11,FR
0RFhWyM6qbA,Benzema balance ses dur vérités Deschamps et Les bleus Dans le CFC !,635236,1483,17.14.11,FR
LhjhGOBIoHM,Jérémy Ferrari - On n'est pas couché 11 novembre 2017 #ONPC,294065,0,17.14.11,FR
lnFaRuWOLN0,"Emilie, 10 ans, Coach De Vie",1504950,2913,17.14.11,FR
LGbUBietbJc,J'ABANDONNE UNE PETITE FILLE DEVANT DES INCONNUS (Social Experiment),335121,3004,17.14.11,FR
JfanclGyrZY,L'incroyable Joyau de François 1er,53248,234,17.14.11,FR
PpECwr15oQQ,Cocovoit - M comme,55313,396,17.14.11,FR
ZTTpRHC5ZH4,Une nouvelle lune - La Petite Mort #4,172608,237,17.14.11,FR
RpEJCznFreQ,FAIRE UNE GLACE ROULÉE (sans machine),373013,813,17.14.11,FR
tsMw-VMUtNU,Kid Barely Avoids Getting Run Over by Trailer in Norway,79611,25,17.14.11,FR
hdOzPPa_bFY,JE SUIS PASSÉ À LA TÉLÉ ! (VOS VIDÉOS FOND VERT #2),255349,950,17.14.11,FR
7779JdxVAg0,"10 FILMS que LES PARENTS CROYAIENT ÊTRE pour ENFANTS, ALORS que NON | Lama Faché",653398,3976,17.14.11,FR
c0YARs-b5rc,NE DITES PAS ÇA À SIRI (SIRI HANTE MA MAISON),152390,1335,17.14.11,FR
BdUdHk80Z7U,J'ai pas lavé ma piscine depuis 30 ans...,321090,13845,17.14.11,FR
1ZAPwfrtAFY,The Trump Presidency: Last Week Tonight with John Oliver (HBO),2418783,12703,17.14.11,FR
Wbbj4oZ-Wmo,[Zap Télé] LA FIN DE L'INTELLIGENCE (13/11/17),72519,362,17.14.11,FR
PKBfGeMSTb4,Je change la ligne d'échappement de ma C63s AMG !!,166132,1042,17.14.11,FR
avNyRo2Vd9U,10 RECETTES DIY DE BAUME À LÈVRES À PARTIR DE BONBONS,240158,935,17.14.11,FR
lQxGAH73DNE,"Le fascisme, c'est pas bien, par Usul",49188,914,17.14.11,FR
FGA3qaOl5SM,"NEYMAR craque, BENZEMA et les Bleus, RONALDO encore papa, EVRA...",160173,424,17.14.11,FR
exMNBvwCfRY,LES PIRES DOUBLAGES FRANÇAIS,3641421,12649,17.14.11,FR
8YEGqrtsxBc,6 CRITIQUES OCT/NOV (Thor 3 / Carbone / Au Revoir Là Haut),102804,421,17.14.11,FR
7FOxuEaWm1k,L'OPEN SPACE SAISON 2 - KAARIS !!!,89653,542,17.14.11,FR
Uq-eW_7xiAA,Et Si Tout L’air Disparaissait Pendant 30 Secondes ? (en 360s),567108,2495,17.14.11,FR
KBeILuk6Tzg,Le PIRE Électricien,269993,884,17.14.11,FR
tEvxCacYbFU,Clyde Vanilla #9 - L'Être Primordial,129864,1725,17.14.11,FR
o-y6Q0bANm4,Côte d'Ivoire vs Maroc 0 - 2,265303,273,17.14.11,FR
Cu_I5qtYqaw,"ARGENT, HATER, PLACEMENT de PRODUIT : LE POINT SUR YOUTUBE / Maud Bettina-Marie",117799,860,17.14.11,FR
anvZCeVIOCg,LES PERLES DU NET: Quand la PRISON te rend FOU !!!,160820,323,17.14.11,FR
EM0p9NFhDdo,8 MOIS SANS ABDOS... LE RÉSULTAT !,15624,368,17.14.11,FR
2rciAnKuVdM,"Quand le WU-TANG découvre Booba, PNL, Nekfeu et Niska",35870,229,17.14.11,FR
redJOfQQlhg,LA MUSCULE : LE PATRON (EP9) - Bodytime,161866,193,17.14.11,FR
QbBNjjZthsg,8 PIRES OBJETS de BATMAN,294947,1678,17.14.11,FR
L-ixmHzXl3w,"Si vous voyez ceci en forêt, courez vite et demandez de l'aide!",1388115,1517,17.14.11,FR
iNF0Zoo_9FI,Les Marseillais VS Le Reste du Monde 2 - Episode 52 HD - 13 Novembre 2017,84521,523,17.14.11,FR
a0TDcLkTdiM,FOOTBALL VS VTT TRIAL (feat AURELIEN FONTENOY),173226,355,17.14.11,FR
hQ0RcXSNKPM,COMMENT ASSOMMER UN POTE EN 4 COUPS ?,207278,283,17.14.11,FR
iKB0e3wL2Y4,LA MEILLEURE PLAYLIST 2017,161552,1099,17.14.11,FR
qrj0hChVji4,LE CLOWN TUEUR VOLE LE McDonald's DE GAMEMIXTREIZE ET MOMO !!,74384,1221,17.14.11,FR
8o6Yn4-7o-o,Alrima - TAHIA MAGHREB,508175,2433,17.14.11,FR
Vrfq5pIQJ-s,شاهد..لحظة تلقي رونار اتصالا من الملك محمد السادس بعد الفوز,2990802,3420,17.14.11,FR
FuJgxV9h_Zc,Expérience Sociale #49: ALTRUISME vs. IGNORANCE,57030,620,17.14.11,FR
783GObTk-I4,لن تصدق ماذا فعل المغاربة و التونسيين و الجزائريين بفرنسا بعد فوز المنتخب المغربي,424161,1688,17.14.11,FR
Ia2WpQVP8lI,DJ Hamida feat. Orchestre Tiiwtiiw - Les Marocains en Russie (world cup 2018 Russia),457870,790,17.14.11,FR
dVR7h99fZGc,Ring Bearer Tosses Pillow,190246,49,17.14.11,FR
DhRyv2Ccupw,Moha La Squale - T'étais où? (Clip HD),209283,440,17.14.11,FR
qhanFhnOLsY,"TRUMP, CHINE, ARABIE SAOUDITE... RÉSUMÉ DES 5 ACTUS DE LA SEMAINE #3",35231,406,17.14.11,FR
gXyP-w4nDyM,Jazz en PLEINE CRISE DE LARMES: son CHIEN A ÉTÉ VOLÉ...,30296,8,17.14.11,FR
68F0uL6Z8-Y,مع نوفل العواملة من الملعب بكاء هيرفي رونارد و تصريح اللاعبين,404120,442,17.14.11,FR
aBQSNL4DymI,l'Indépendance de la Catalogne ?,45311,577,17.14.11,FR
nP10W-rPJcg,late nights - lofi hip hop mix 2017,17804,5,17.14.11,FR
