video_id,title,views,comment_count,trending_date,country_code
5ugKfHgsmYw,陸自ヘリ、垂直に落下＝路上の車が撮影,188085,0,18.07.02,JP
ohObafdd34Y,イッテQ お祭り男宮川×手越 巨大ブランコ②,90929,174,18.07.02,JP
aBr2kKAHN6M,Live Views of Starman,6408303,3006,18.07.02,JP
5wNnwChvmsQ,東京ディズニーリゾートの元キャストが暴露した秘密5選,96255,545,18.07.02,JP
B7J47qFvdsk,榮倉奈々、衝撃の死んだふり！映画『家に帰ると妻が必ず死んだふりをしています。』特報,108408,201,18.07.02,JP
OIDfjdGERr8,有賀さつきさんの死因を元夫・和田圭が会見前に漏らし一同涙の嵐・・・,193593,53,18.07.02,JP
KqtWo-4A0LU,坂上忍 やくみつるに「大激怒！」バイキング 2018年2月6日 20180206,55465,800,18.07.02,JP
MPQaySneSUc,直撃LIVE グッディ! 2018年2月6日 180206,66272,164,18.07.02,JP
zIhc0rXajCk,ゆにばーす　漫才「あれ何」,57820,107,18.07.02,JP
FVPmVIfl3-o,究極の激ウマ丼の作り方。,105112,499,18.07.02,JP
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,76621,0,18.07.02,JP
nvSvrGUaRL0,【DHC】2/6(火) 百田尚樹×和田政宗×居島一平【スカイプゲスト：我那覇真子】,245032,0,18.07.02,JP
GbHQfKUVEqk,二階堂ふみが大ファン！？ガンバレルーヤの女優さんシリーズｗｗｗ（小雪、多部未華子）,37906,69,18.07.02,JP
TC-ipmLi9PA,【バレンタイン】材料たったの2つで絶品ガトーショコラを作る!【赤髪のとも】,120824,699,18.07.02,JP
UQVs2qDBe10,警察から逃げる,1649451,4194,18.07.02,JP
cXopRwPxg2M,【ゆっくり茶番】恵方巻の復讐,23572,655,18.07.02,JP
bFrhcY9exgo,福井県の大雪！ 8号線なう。2018年2月6日,34020,73,18.07.02,JP
bvgF6esNfeQ,有賀さつきの死因に”ある病気”の可能性が浮上！ 数々の証言から浮かび上がるその病気とは…？【ザ・芸能界】,121271,25,18.07.02,JP
ylojY8-BfWU,業務用スーパーのおすすめ品でアレンジご飯【kattyanneru】,51006,156,18.07.02,JP
zr99xwEg6Pg,哀悼『有賀さつき』さん 最後のTV番組～訃報報道番組～速報！,98294,35,18.07.02,JP
u1LbK98Yphs,有賀さつきの事件に対し、元旦那が放った「ある一言」にファンから涙の嵐…【mayu】,43853,13,18.07.02,JP
29Gd024WhDA,モーニングコーヒー20th Anniversary Ver. / モーニング娘。'18,28545,140,18.07.02,JP
iP3symHIsUs,ヌメロン第4回大会予選 土田晃之 VS 中田敦彦,18025,46,18.07.02,JP
0aH2JyPKkcQ,2018年 全日本ラリー選手権 第１戦 嬬恋・群馬,12637,21,18.07.02,JP
B_v4nRnOs4A,月曜から夜ふかし 2018年2月5日,91931,71,18.07.02,JP
pVxOVlm_lE8,Marvel Studios’ Avengers: Infinity War - Big Game Spot,12908071,26863,18.07.02,JP
_C1pZ0KL0MM,【月曜から夜ふかし】過激で有名な沖縄の成人式を調査,60140,89,18.07.02,JP
6sexVZpv5RI,【アクアリウム】サテライト全部買ってみた,9854,94,18.07.02,JP
vmd4px8348Y,DVD『モーニング娘。’17 クリスマスFCイベント ～プレモニ。2～』,23903,50,18.07.02,JP
kKt7R582Umk,ゲスト2月6日 マーケットアナリスト　荒野 浩さん,12463,0,18.07.02,JP
9D2iNVZ9kJk,無許可撮影？2018年もジャッカルブースが熱いバイ！メガポンパドール、川島スィッシャー、マーモプロップ、ハタチュー、スピンガヴァチョフロッグ紹介！,5815,17,18.07.02,JP
pw4BYR6njRI,🌏《線香代問題に触れるも “御党代表と同じ” 言われすぐ引き下がる》今井雅人・希望の党【国会中継 衆議院 予算委員会】平成30年 2月6日,10352,22,18.07.02,JP
5ugKfHgsmYw,陸自ヘリ、垂直に落下＝路上の車が撮影,188085,0,18.07.02,JP
ohObafdd34Y,イッテQ お祭り男宮川×手越 巨大ブランコ②,90929,174,18.07.02,JP
aBr2kKAHN6M,Live Views of Starman,6408303,3006,18.07.02,JP
B7J47qFvdsk,榮倉奈々、衝撃の死んだふり！映画『家に帰ると妻が必ず死んだふりをしています。』特報,108408,201,18.07.02,JP
5wNnwChvmsQ,東京ディズニーリゾートの元キャストが暴露した秘密5選,96255,545,18.07.02,JP
OIDfjdGERr8,有賀さつきさんの死因を元夫・和田圭が会見前に漏らし一同涙の嵐・・・,193593,53,18.07.02,JP
KqtWo-4A0LU,坂上忍 やくみつるに「大激怒！」バイキング 2018年2月6日 20180206,55465,800,18.07.02,JP
MPQaySneSUc,直撃LIVE グッディ! 2018年2月6日 180206,66272,164,18.07.02,JP
zIhc0rXajCk,ゆにばーす　漫才「あれ何」,57820,107,18.07.02,JP
FVPmVIfl3-o,究極の激ウマ丼の作り方。,105112,499,18.07.02,JP
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,76621,0,18.07.02,JP
nvSvrGUaRL0,【DHC】2/6(火) 百田尚樹×和田政宗×居島一平【スカイプゲスト：我那覇真子】,245032,0,18.07.02,JP
