video_id,title,views,comment_count,trending_date,country_code
SbOwzAl9ZfQ,Capítulo 12 | MasterChef 2017,310130,1836,17.14.11,MX
klOV6Xh-DnI,ALEXA EX-INTEGRANTE DEL GRUPO TIMBIRICHE RENUNCIA A ¨La Voz Mexico 7¨TELEVISA 11/11/2017,104972,369,17.14.11,MX
6L2ZF7Qzsbk,LOUIS CKAGÓ - EL PULSO DE LA REPÚBLICA,136064,607,17.14.11,MX
hcY52MFWMDM,Sismo de 6.7 sacude Costa Rica 12 Noviembre 2017,96153,208,17.14.11,MX
_OXDcGPVAa4,DOG HACKS | MUSAS LESSLIE LOS POLINESIOS,499965,7428,17.14.11,MX
Q9kK6NWZR1U,Asi se sintio Terremoto en iraq al bordo de iran 7.6,129645,239,17.14.11,MX
c9VTD3n_IDs,La Resolana con el Capi | Programa 12 noviembre  2017,75197,164,17.14.11,MX
XzULSsZYMRc,M6.7 Costa Rica Análisis de Terremotos en (((ALERTA SÍSMICA))) con Alex Backman,142522,0,17.14.11,MX
uijjYNtl_UM,7 Niños Famosos Que No Supieron Adaptarse a La Fama - Los mejores Top 10,371110,766,17.14.11,MX
cOJ68MQm2ac,TOP: Los 7 libros infantiles más perturbadores | Angel David Revilla (Dross),1111314,9106,17.14.11,MX
rZZEeeAVgog,Franco Escamilla.- Tradiciones y Faitelson,471516,494,17.14.11,MX
kTT472QeJGg,Juanpa Zurita ¿Se clavó el dinero de las donaciones? | Viral Team le tira a Dosogas,220315,1895,17.14.11,MX
yhdI98_O-Xc,Disney Challenge - feat. Luis Angel Gomez / Miguel en Coco/ Memo Aponte,127796,2318,17.14.11,MX
7jmJtdqI6YE,Sismo sacude Costa Rica la noche del 12 de Noviembre de 2017,53265,90,17.14.11,MX
Dhhp8M5K3UI,Deleted video,53265,90,17.14.11,MX
M16Usa8oqDg,"TERREMOTO 7,2 SACUDE IRAK E IRÁN 12.11.17 PRIMERAS IMÁGENES",66073,109,17.14.11,MX
OFXU_vrye9w,¡Se acabó la espera! El Privilegio de Mandar | Capítulo 01,30274,125,17.14.11,MX
238T-LaO_IM,Termina Telenovela  Las Malcriadas sin Pena ni Gloria,47789,308,17.14.11,MX
KO-QO5QQAyM,Mexico vs Polonia 1-0 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 13/11/2017,39857,324,17.14.11,MX
7D-swI6qNLM,HACKS CON SILICÓN CALIENTE,217025,1277,17.14.11,MX
WflHonz04Uc,Terremoto de irak 7.3 Momento exacto,29667,10,17.14.11,MX
